p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1539487314,0.1457789873,0.1074345604,0.0703853869,0.1450810695,0.1180311551,0.0446902542,0.1010469327,0.1136029224,0.024297038618030203,0.0237498
0.121568621,0.1198843133,0.1081660445,0.0883408049,0.119740542,0.1105218915,0.1427530452,0.0757730117,0.1132517258,0.024103912112103207,0.0237498
0.1578931428,0.149555452,0.1083372269,0.0638603263,0.1013601978,0.1192452584,0.1171369605,0.0658946791,0.1167167562,0.023991995167604547,0.0237498
0.1630590073,0.1538105619,0.1084181826,0.0601286048,0.0960445509,0.1205030842,0.1183648465,0.0622832764,0.1173878853,0.024037847401446603,0.0237498
0.1413923627,0.1315661035,0.0916866111,0.0670701829,0.1122275623,0.1041527347,0.1315494399,0.1274896618,0.0928653412,0.02388734297970309,0.0237498
0.1422760145,0.1314508357,0.0885570756,0.0647615952,0.1101465638,0.1022431137,0.1352760395,0.1364725569,0.0888162051,0.02388731812730679,0.0237498
0.1692730452,0.1104465196,0.10080255,0.0516318167,0.1343444345,0.1168103484,0.1281175005,0.0806313729,0.1079424121,0.02414749165049078,0.0237498
0.1718220198,0.1387795235,0.0873922044,0.09473325,0.1287089594,0.1065776115,0.1182358498,0.054928681,0.0988219007,0.02428813859538941,0.0237498
0.1305281012,0.1230877965,0.1115160386,0.0614555516,0.1208201082,0.1158365427,0.1184611222,0.1042048419,0.1140898971,0.023994503777531217,0.0237498
0.1010643656,0.1468503001,0.1022509277,0.0479320757,0.1362701216,0.1385584913,0.1327554611,0.0821554748,0.1121627822,0.02436666952176176,0.0237498
0.1642667994,0.1202463642,0.1036686127,0.0840659664,0.1178221085,0.101051073,0.1119451803,0.0895746521,0.1073592434,0.024010892475264823,0.0237498
0.1501059453,0.1290306185,0.1378737609,0.0614432236,0.1181437434,0.1033044669,0.1260405487,0.0984323859,0.0756253067,0.024250697042022942,0.0237498
0.1398474284,0.1292742496,0.087816856,0.0765446397,0.1266393535,0.1182688823,0.1158046825,0.0820445995,0.1237593085,0.023986078631384834,0.0237498
0.1104865186,0.152836397,0.1092618974,0.096555191,0.1105011957,0.1088014031,0.1080088393,0.0962102789,0.1073382789,0.02421139372325177,0.0237498
0.1571511697,0.1191874285,0.1025471981,0.0608949038,0.1294281897,0.1151591273,0.1239709243,0.0838436042,0.1078174544,0.02398386178200169,0.0237498
0.1665772525,0.14231849,0.1005922759,0.0533869521,0.1275629209,0.1161905102,0.0900821688,0.1023284877,0.1009609419,0.024117200258741395,0.0237498
0.1312281513,0.1246987338,0.1065405189,0.0808394448,0.1214190722,0.1117386783,0.1314492724,0.0814720869,0.1106140416,0.023997157821018782,0.0237498
0.1581607824,0.118088092,0.0982189876,0.071852554,0.1030845812,0.1276069949,0.116900013,0.1113217503,0.0947662446,0.02390621655500007,0.0237498
0.1695647728,0.1292146189,0.0868671739,0.0618258186,0.1095041043,0.1149266435,0.159960706,0.0923917768,0.0757443852,0.023935264422296904,0.0237498
0.1508850686,0.1148298718,0.087680538,0.0654451265,0.0922492434,0.0970073972,0.1312899308,0.1119348506,0.1486779731,0.023859887370544137,0.0237498
0.1510678213,0.1121171436,0.0851292563,0.0645404409,0.0871327813,0.0932830435,0.1325384772,0.1157929836,0.1583980523,0.023868287926161372,0.0237498
0.1331872038,0.1327737985,0.0914932191,0.0512616334,0.1076804534,0.1257181687,0.1432413644,0.1039875449,0.1106566138,0.02395639634696768,0.0237498
0.1661593386,0.1302153578,0.0852634346,0.0477517351,0.1010323605,0.11835581,0.1267038114,0.1170560351,0.1074621169,0.023963666594400728,0.0237498
0.1737717903,0.1331632706,0.075336556,0.0638510912,0.0977612188,0.114879215,0.1408834781,0.0975471342,0.1028062459,0.023967864771013432,0.0237498
0.1512296807,0.1040934661,0.0708250889,0.0615485181,0.1155517839,0.1106187703,0.1475854963,0.1414377547,0.0971094411,0.02391648752119872,0.0237498
0.1711165541,0.1182196446,0.0869554909,0.0460549342,0.088744859,0.1099041497,0.1557552796,0.1387107102,0.0845383776,0.023964734741780267,0.0237498
0.1574886057,0.1278471146,0.0689055561,0.057861404,0.0764724923,0.1117099945,0.1552355117,0.1498298604,0.0946494607,0.023988844444246517,0.0237498
0.1572229305,0.1210304414,0.0953867639,0.0602492453,0.1181572278,0.1144248187,0.1306253853,0.0978884336,0.1050147537,0.023900480921041543,0.0237498
0.1364792413,0.1107863271,0.100909259,0.053900974,0.1127204954,0.1118147341,0.1360922259,0.137256906,0.1000398371,0.023957352527807337,0.0237498
0.1312577642,0.1246512411,0.0920147243,0.0742652965,0.1276517113,0.1174418796,0.1160514178,0.0940043653,0.1226616,0.02394448354315678,0.0237498
0.1293453287,0.1112670009,0.0950955788,0.0778346247,0.1204090102,0.1086136805,0.1436367915,0.1115436504,0.1022543343,0.02396049029425047,0.0237498
0.1349720647,0.1141633999,0.0935927383,0.0732361897,0.1174469459,0.1101029755,0.1410487804,0.1123860099,0.1030508957,0.023910419597348357,0.0237498
0.1583918853,0.1311645172,0.0781437508,0.0756633439,0.1098054826,0.1147370786,0.1353541603,0.0865367606,0.1102030206,0.02403338275320846,0.0237498
0.1412059758,0.1151823416,0.0959982349,0.0585955062,0.1120923569,0.1124447236,0.1359331248,0.1263153216,0.1022324146,0.023875861456818,0.0237498
0.1638679369,0.1054404346,0.0882461634,0.0803267595,0.1158164975,0.0978223148,0.1265114082,0.124165085,0.0978034001,0.02402958094588328,0.0237498
0.1396391969,0.1270254507,0.0908105495,0.0573740415,0.1093911164,0.1198516458,0.1397234259,0.108230727,0.1079538464,0.023874837110255353,0.0237498
0.1667408815,0.1144178533,0.0875708131,0.0539382658,0.0925666519,0.1069685801,0.1580535725,0.1362699322,0.0834734496,0.023880019121891242,0.0237498
0.1306524989,0.1074690109,0.0924791229,0.0640438652,0.1063137863,0.1078461577,0.116931659,0.1458080256,0.1284558734,0.02385039287763515,0.0237498
0.1267585983,0.1052932475,0.0930409087,0.0642657835,0.1059946306,0.1071375319,0.1126258127,0.1511531066,0.1337303801,0.02386168567741712,0.0237498
0.1423595419,0.1323424652,0.1138186116,0.0650061315,0.0979693583,0.1111733633,0.1201408795,0.1003130803,0.1168765684,0.02394867756576118,0.0237498
0.1493664743,0.1100263923,0.0798546755,0.0622747365,0.111859164,0.1107351111,0.1418215347,0.1328008339,0.1012610777,0.023858698940112926,0.0237498
0.1614017466,0.1211144371,0.0879121702,0.0512433958,0.0952845502,0.1117986117,0.1272033769,0.1337128741,0.1103288376,0.023874290927345145,0.0237498
0.1396150469,0.1179809361,0.0811120025,0.0479709443,0.1074825807,0.0912641912,0.1529559802,0.1397606637,0.1218576543,0.023951309273317022,0.0237498
0.1541692712,0.118065099,0.0945380035,0.0667132741,0.1040305052,0.1197862474,0.1246594319,0.1174419705,0.1005961973,0.02385853098664297,0.0237498
0.1399106594,0.1144747295,0.0837267186,0.0607240213,0.0897388791,0.1053449978,0.1382156845,0.1570056428,0.110858667,0.02383050942818569,0.0237498
0.1380431218,0.1137677539,0.0824688747,0.0607752197,0.0866730788,0.1043654387,0.139034254,0.1633833281,0.1114889303,0.023838745342766615,0.0237498
0.1542557102,0.0997181473,0.089323281,0.055180001,0.0925380619,0.118320446,0.1343152965,0.1236595067,0.1326895494,0.023841279736252604,0.0237498
0.1265579584,0.1139505058,0.0907102083,0.0665090891,0.1104989412,0.1159419981,0.1059116663,0.1211433387,0.1487762942,0.02386619934281455,0.0237498
0.1489119758,0.1129755974,0.0814764398,0.0633927902,0.0910605065,0.11121358,0.1220988552,0.1299565234,0.1389137318,0.02384261613180772,0.0237498
0.1524519125,0.0986023773,0.0843485992,0.065885484,0.0895770274,0.1022580738,0.1145970164,0.1519645436,0.1403149658,0.023885718759697933,0.0237498
0.1424378788,0.1208174947,0.0893988894,0.0592331029,0.1050637879,0.1160085245,0.1342355429,0.1177829146,0.1150218642,0.0238366295736614,0.0237498
0.1263687947,0.1036470669,0.087433578,0.0742249917,0.1055423945,0.1108580159,0.1281495501,0.1237744873,0.1400011209,0.023923863846872048,0.0237498
0.1541115518,0.1174790299,0.0878124316,0.0560259786,0.0974197579,0.1116025428,0.1274002468,0.1316443278,0.1165041328,0.023830464399994932,0.0237498
0.1671466607,0.1118019564,0.0840861603,0.0565291385,0.0876259356,0.1058949602,0.1535636912,0.1385447284,0.0948067687,0.02386003333915939,0.0237498
0.1610730685,0.1121237895,0.0850771369,0.0580223899,0.0910487923,0.1073985826,0.1464335437,0.1359404337,0.1028822631,0.02383933943008291,0.0237498
0.1457362106,0.1104066348,0.0864827172,0.0560550003,0.1049898664,0.1262626975,0.132141268,0.1522809734,0.0856446318,0.023846334281156536,0.0237498
