case,distance,df_mics
517,0.2952404489,0.0964568733
518,0.4138879664,0.0876542073
519,0.2894823861,0.0900944916
520,0.5339446377,0.103979867
521,0.3770845193,0.085517028
522,0.3235351756,0.0896084272
523,0.2493856801,0.082652686
524,0.2663379008,0.0824575617
525,0.4384654465,0.0871381315
526,0.3771531402,0.086281508
527,0.0818926386,0.0851052705
528,0.267767429,0.0900501747
529,0.292491599,0.0888726105
530,0.3908597355,0.0912974006
531,0.3227409914,0.0896767218
532,0.2823458862,0.092355289
533,0.455725885,0.0852040228
534,0.3434662899,0.0871353582
535,0.2972007709,0.0868126356
536,0.2116589618,0.087490378
537,0.3017909853,0.0891418294
538,0.4063602222,0.0853207214
539,0.2374458212,0.0869269354
540,0.3839003783,0.0893416295
541,0.3497826812,0.0872406735
542,0.257479307,0.0970675743
543,0.295378785,0.0980725255
544,0.362447324,0.0904320341
545,0.1984206991,0.0849347908
546,0.2221703486,0.0878545432
547,0.3246023289,0.0927309173
548,0.3635479979,0.0841049215
549,0.3025149504,0.0839877217
550,0.2711385854,0.0829294776
551,0.3014801289,0.0850734171
552,0.3361731473,0.0922382061
553,0.2835405955,0.0882606609
554,0.4659224525,0.1029732984
555,0.3126895919,0.0882062612
556,0.3399059798,0.0839977182
557,0.3699541247,0.0899382535
558,0.4078313565,0.0921343444
559,0.3363175061,0.0845227602
560,0.3910210473,0.1047390412
561,0.3147725024,0.1057601455
562,0.2209615843,0.0818664596
563,0.3675708246,0.0897053117
564,0.3873964955,0.0976545346
565,0.2000915966,0.0859494917
566,0.4596988887,0.0936101984
567,0.3751650566,0.0921263089
568,0.2840931871,0.0841627041
569,0.3934155417,0.0922133514
570,0.4054760696,0.0874596666
571,0.3263217722,0.0866176676
572,0.1114995562,0.0858311057
573,0.2868625474,0.0833215842
574,0.3516287769,0.1075995316
575,0.2295835065,0.0851929005
576,0.2014064175,0.0856856266
577,0.3764047037,0.0937088447
578,0.2228632387,0.0836387653
579,0.278599364,0.0993747966
580,0.349878526,0.0962965489
581,0.3266289601,0.0918233626
582,0.2222696189,0.0881086916
583,0.2863139379,0.0853051778
584,0.4390288595,0.0998012454
585,0.264277131,0.0842097308
586,0.4454632966,0.0883206859
587,0.1392288311,0.0916468341
588,0.3915845125,0.116246745
589,0.4204109287,0.0853758521
590,0.2689256687,0.0905075152
591,0.2675893884,0.0847423092
592,0.3820964033,0.0955785553
593,0.2772328795,0.1018614206
594,0.2518503842,0.0867123847
595,0.2687771488,0.1003440307
596,0.2552966998,0.0904902888
597,0.3414903496,0.0843916411
598,0.2644808337,0.0852783877
599,0.3687440644,0.0907422078
600,0.2283466847,0.0844485545
601,0.3458607326,0.08736947
602,0.3526941174,0.0926353406
603,0.2176140681,0.0903426173
604,0.3459350795,0.0918065588
605,0.3081197662,0.0886905354
606,0.2834121238,0.0996381613
607,0.3081388136,0.0857387263
608,0.2992560451,0.1170891108
609,0.2974514143,0.1008963257
610,0.338806558,0.09342776
611,0.4075663375,0.088178812
612,0.305875337,0.0840305703
613,0.1641172466,0.0989393026
614,0.2985481012,0.0840475386
615,0.1479681784,0.0827788115
616,0.3121445342,0.0882465331
617,0.4796003416,0.1390345573
618,0.3476995219,0.086889752
619,0.2597550921,0.0982405544
620,0.2364486773,0.086029982
621,0.2290535218,0.08603709
622,0.3021257943,0.093002071
623,0.3302739759,0.0854264548
624,0.2445830841,0.0873363157
625,0.2756333462,0.0827160224
626,0.2793660986,0.0898027505
627,0.2637371668,0.0861481449
628,0.1745100466,0.0875341536
629,0.3729264336,0.0844298494
630,0.1569900234,0.0844581085
631,0.1922442957,0.0843519844
632,0.4164698124,0.0863526707
633,0.3088354226,0.092345808
634,0.2297444482,0.1042086271
635,0.2552682363,0.1044728196
636,0.271091537,0.0866111688
637,0.4422702439,0.0869299148
638,0.4012100919,0.0850937659
639,0.3205808532,0.0840875233
640,0.2550007054,0.0887618081
641,0.3597670736,0.0884694401
642,0.3304924706,0.1162080296
643,0.3197203046,0.087708463
644,0.342151927,0.0937830982
645,0.2628552429,0.0838172196
646,0.2758178296,0.0887738046
647,0.3079994802,0.0827948479
648,0.392810144,0.0931357877
649,0.1980012403,0.0839148186
650,0.426490397,0.0902125009
651,0.2980082729,0.0970890308
652,0.3033525673,0.0882007973
653,0.3684324564,0.0894291717
654,0.2919937068,0.0855866303
655,0.2050411516,0.0863363394
656,0.3483240142,0.0849391689
657,0.3113108182,0.0948139092
658,0.2426310541,0.0842352877
659,0.1634875078,0.0984991128
660,0.3051261095,0.0849953679
661,0.4277096212,0.0908313585
662,0.4281837477,0.0859423976
663,0.2047497634,0.0830239524
664,0.3268191394,0.084864148
665,0.4409889381,0.0961107745
666,0.2669055981,0.0838558425
667,0.3685497324,0.0843221807
668,0.3607448278,0.084290758
669,0.3061987932,0.0943894571
670,0.3194195998,0.0851057193
671,0.4166910239,0.0991115896
672,0.3238304365,0.0835625929
673,0.194064715,0.0873911048
674,0.3160295912,0.084005093
675,0.2813650684,0.0918002329
676,0.3133779311,0.0874053774
677,0.2322084988,0.0900207952
678,0.298005182,0.0835905011
679,0.3871580597,0.0955644032
680,0.4465607347,0.0860100496
681,0.2621000689,0.086719502
682,0.210708111,0.0863316666
683,0.1533339178,0.0998965883
684,0.2754498171,0.0927371608
685,0.2624190001,0.0884147833
686,0.3481184006,0.0878384944
687,0.2312208938,0.0822152111
688,0.4767483917,0.0887339957
689,0.1978649361,0.0938312541
690,0.3465935763,0.086398225
691,0.3267261917,0.0835103338
692,0.4650211622,0.0890135535
693,0.3519225249,0.0979617625
694,0.3435402338,0.0843581196
695,0.3198486983,0.0837600646
696,0.3042321307,0.0841431477
697,0.3319748037,0.0871066901
698,0.3380813517,0.1042723816
699,0.4153666876,0.1077492071
700,0.3245791042,0.0852625794
701,0.2321114681,0.0841140069
702,0.3704168465,0.0963435778
703,0.2387646246,0.082757182
704,0.3207450485,0.0859229404
705,0.3501446775,0.0982206296
706,0.3090596333,0.0963133045
707,0.3359442942,0.0885556963
708,0.2079411641,0.0877170978
709,0.3508371596,0.0934603903
710,0.4058807321,0.0893941897
711,0.2366833783,0.0848792898
712,0.2996213463,0.0865087995
713,0.3212834496,0.0851839604
714,0.4598544408,0.1007409458
715,0.3832527106,0.085849077
716,0.2910447552,0.1032557953
717,0.3679657334,0.1021839119
718,0.5721085872,0.0970242726
719,0.2437266022,0.0871870634
720,0.3637967874,0.0912863294
721,0.3999439593,0.0959249369
722,0.3405530521,0.0856866262
723,0.2311469535,0.0836276697
724,0.2091692547,0.085237503
725,0.2985711987,0.1034988372
726,0.110081585,0.0878785063
727,0.4047812498,0.0946206722
728,0.4442575906,0.0854059891
729,0.3983501985,0.0987026175
730,0.2447147476,0.0935961971
731,0.3068550165,0.0835139126
732,0.3169498386,0.0876971305
733,0.2275586807,0.0836449627
734,0.3383359104,0.0903337528
735,0.3615204925,0.0843181502
736,0.2706429252,0.0836543849
737,0.3075042734,0.0928786852
738,0.3899299295,0.0891526325
739,0.3053983968,0.0912432274
740,0.2770049705,0.0875218131
741,0.2722001775,0.0912798331
742,0.2386567201,0.095456067
743,0.1635169987,0.10891689
744,0.2439245375,0.0855134275
745,0.2437785651,0.0824430162
746,0.3568431629,0.088511009
747,0.2922708706,0.0842879926
748,0.2572037035,0.09505608
749,0.2865063211,0.086405279
750,0.4673786206,0.0868205372
751,0.3744460684,0.0921291822
752,0.3195333745,0.0836401707
753,0.3455976676,0.0855466092
754,0.2027603532,0.0873384982
755,0.264447462,0.0835480588
756,0.1168997466,0.085393501
757,0.2713679985,0.089435909
758,0.1446370198,0.086625742
759,0.2964024081,0.0943260845
760,0.347055258,0.094135921
761,0.2835862801,0.0831276398
762,0.3407554662,0.0854070091
763,0.276024112,0.0858531039
764,0.1860769031,0.0837474634
765,0.3097191813,0.0842104838
766,0.3461463543,0.0984611177
767,0.210317327,0.0896260113
768,0.2968008711,0.0924929349
769,0.2944571995,0.0850011031
770,0.3747337056,0.0886965619
771,0.2513511506,0.0855243692
772,0.3706253847,0.0900415684
773,0.3429455828,0.0859188452
774,0.2345095896,0.0849420678
775,0.3630635381,0.0848552025
776,0.3806467863,0.0966511603
777,0.290372753,0.0885641099
778,0.18658273,0.0857706214
779,0.4251828695,0.1022551548
780,0.389806936,0.0893403713
781,0.2716925704,0.0939396486
782,0.350147233,0.0843943864
783,0.3572062935,0.0908690351
784,0.3844861507,0.0870700136
785,0.3542269513,0.0876133973
786,0.3168846207,0.0862348806
787,0.2634073502,0.0931564452
788,0.3819754549,0.1040398993
789,0.2786414557,0.0833592179
790,0.4839744559,0.0880089216
791,0.352543421,0.0886980299
792,0.3121307129,0.0871768524
793,0.3050691341,0.0895075321
794,0.4711051019,0.0904901677
795,0.3048111382,0.1044296121
796,0.2839948735,0.0844263778
797,0.2727280287,0.0946556146
798,0.3444926313,0.0868379257
799,0.292705409,0.0854323047
800,0.2374863879,0.082230712
801,0.4270748272,0.0955578279
802,0.333624404,0.0892724519
803,0.3457330262,0.0846653996
804,0.3802132632,0.0877659718
805,0.2467633137,0.0889165889
806,0.2887650634,0.085386648
807,0.3431536322,0.0966677016
808,0.2458752896,0.0825969796
809,0.3723388708,0.0925077501
810,0.3411133392,0.1048855655
811,0.2751834915,0.0910312121
812,0.3023095648,0.085925266
813,0.3835041404,0.095480331
814,0.3295751476,0.0960774516
815,0.4166747379,0.0952081187
816,0.4534095612,0.0866038079
817,0.2795323569,0.0884732861
818,0.332126258,0.093959768
819,0.3536777369,0.0977888691
820,0.373884161,0.0939669868
821,0.3362889426,0.0902559958
822,0.2029721101,0.0945591733
823,0.3279939424,0.0878657386
824,0.4249830094,0.0929594831
825,0.2573393076,0.0876955519
826,0.3630394299,0.0848927387
827,0.3384544546,0.0844685432
828,0.1692505127,0.0981439146
829,0.287175653,0.0943735245
830,0.2869775986,0.0837818564
831,0.2088448912,0.0837737357
832,0.2768985505,0.0855935269
833,0.2601095617,0.0961222348
834,0.2259696401,0.0855255462
835,0.2835450707,0.083161215
836,0.1753789327,0.0837019958
837,0.2834852542,0.089011251
838,0.1257166684,0.0825675262
839,0.2601445096,0.0886644378
840,0.206549161,0.0849354269
841,0.2429996535,0.0872309885
842,0.5445562914,0.104419939
843,0.1931642447,0.0848801714
844,0.1812961664,0.0838826401
845,0.2540705667,0.1005856672
846,0.4927404122,0.1050025907
847,0.3253077534,0.0941420565
848,0.2806194764,0.0860640502
849,0.3000121372,0.1027175288
850,0.4627784593,0.0939214765
851,0.3099714472,0.0846751845
852,0.379033524,0.0943717848
853,0.4328841174,0.0910514744
854,0.3368301519,0.0843139196
855,0.3665855413,0.0913264321
856,0.205883588,0.0872268785
857,0.3144795027,0.0836319141
858,0.2573634281,0.0854836211
859,0.3789249439,0.0984706995
860,0.213353715,0.108768197
861,0.2946856712,0.0938459861
862,0.4335609151,0.1045521014
863,0.3612394182,0.091352093
864,0.2567944194,0.0842162686
865,0.3697555652,0.0919332484
866,0.2710349825,0.0832384604
867,0.1579940571,0.0826132177
868,0.258393402,0.0911985564
869,0.4665886387,0.0868595572
870,0.3720874308,0.1025998953
871,0.3423947012,0.0941098594
872,0.3283899538,0.0895040543
873,0.3592323407,0.0852495796
874,0.2503918332,0.0899235646
875,0.316577013,0.0995903182
876,0.1779637883,0.0835115878
877,0.2858432102,0.0859236259
878,0.3895819722,0.0868894225
879,0.3445713539,0.0828957282
880,0.2041668714,0.0838654844
881,0.2701974862,0.0844891422
882,0.2070159053,0.1010552645
883,0.2178019915,0.0900628946
